n,q,p_in,p_out,1,2,3,4,5
200,2,0.1,0.0101010101010101,0.54,0.99,0.51,0.515,0.995
200,2,0.2,0.0101010101010101,0.565,0.51,0.51,0.565,0.5
200,2,0.3,0.0101010101010101,0.535,1.0,0.995,0.555,0.515
200,2,0.4,0.0101010101010101,0.99,1.0,0.545,0.505,0.54
200,2,0.5,0.0101010101010101,1.0,0.515,0.52,1.0,0.52
200,2,0.6,0.0101010101010101,0.535,0.51,0.99,1.0,0.5
200,2,0.7,0.0101010101010101,0.505,1.0,1.0,0.515,0.995
200,2,0.8,0.0101010101010101,1.0,0.99,1.0,1.0,1.0
200,2,0.9,0.0101010101010101,0.51,0.555,1.0,0.995,0.52
200,2,1.0,0.0101010101010101,0.505,0.545,0.535,1.0,0.99
200,2,1.0,0.9898989898989898,0.525,0.52,0.5,0.595,0.5
300,3,0.1,0.0101010101010101,0.3433,0.5533,0.9967,0.6533,0.6967
300,3,0.2,0.0101010101010101,0.35,0.68,0.66,0.7233,0.9967
300,3,0.3,0.0101010101010101,0.37,0.6733,0.6867,0.9933,0.6667
300,3,0.4,0.0101010101010101,0.6767,0.65,0.6833,0.6667,0.37
300,3,0.5,0.0101010101010101,0.99,0.6833,0.3433,0.6833,0.9967
300,3,0.6,0.0101010101010101,0.36,1.0,0.6767,1.0,0.68
300,3,0.7,0.0101010101010101,0.6633,0.69,0.7133,0.66,0.67
300,3,0.8,0.0101010101010101,0.73,0.7,0.37,0.68,1.0
300,3,0.9,0.0101010101010101,0.36,1.0,0.7033,0.71,0.72
300,3,1.0,0.0101010101010101,0.7067,0.6933,0.6667,1.0,0.7
300,3,1.0,0.9898989898989898,0.36,0.3767,0.3433,0.3567,0.3667
400,4,0.1,0.0101010101010101,0.535,0.51,0.255,0.3125,0.265
400,4,0.2,0.0101010101010101,0.54,0.5125,0.745,0.555,0.74
400,4,0.3,0.0101010101010101,0.505,0.765,0.7675,0.765,0.7775
400,4,0.4,0.0101010101010101,0.75,0.52,0.7375,0.74,0.7475
400,4,0.5,0.0101010101010101,0.5375,0.7625,0.7675,0.735,0.525
400,4,0.6,0.0101010101010101,0.56,0.75,1.0,0.7425,0.55
400,4,0.7,0.0101010101010101,0.505,0.7675,0.7725,0.53,0.995
400,4,0.8,0.0101010101010101,0.4925,0.74,0.77,0.525,0.7675
400,4,0.9,0.0101010101010101,0.5225,0.7425,0.54,0.785,0.5325
400,4,1.0,0.0101010101010101,0.7925,0.265,0.5125,0.515,0.5275
500,5,0.1,0.0101010101010101,0.24,0.244,0.218,0.22,0.434
500,5,0.2,0.0101010101010101,0.6,0.414,0.612,0.604,0.628
500,5,0.3,0.0101010101010101,0.6,1.0,0.61,0.638,0.644
500,5,0.4,0.0101010101010101,0.628,0.642,0.626,0.62,0.628
500,5,0.5,0.0101010101010101,0.5820000000000001,0.82,0.624,0.812,0.61
500,5,0.6,0.0101010101010101,0.8059999999999999,0.802,0.632,0.596,0.8220000000000001
500,5,0.7,0.0101010101010101,0.608,0.81,0.79,0.8220000000000001,0.43
500,5,0.8,0.0101010101010101,0.612,0.634,0.82,0.83,0.818
500,5,0.9,0.0101010101010101,0.816,0.79,0.7879999999999999,0.42200000000000004,0.62
500,5,1.0,0.0101010101010101,0.414,0.816,0.644,0.7879999999999999,0.81
200,2,0.1,0.0202020202020202,0.51,0.54,0.525,0.545,0.51
200,2,0.2,0.0202020202020202,0.52,0.545,0.54,0.505,0.53
200,2,0.3,0.0202020202020202,1.0,0.53,0.575,0.56,0.54
200,2,0.4,0.0202020202020202,0.995,0.995,0.535,0.535,0.555
200,2,0.5,0.0202020202020202,0.525,0.55,0.5,1.0,0.515
200,2,0.6,0.0202020202020202,1.0,0.505,0.995,0.5,0.505
200,2,0.7,0.0202020202020202,0.52,1.0,0.52,1.0,0.505
200,2,0.8,0.0202020202020202,0.995,0.995,0.51,0.545,0.57
200,2,0.9,0.0202020202020202,0.51,0.53,0.55,0.515,0.985
200,2,1.0,0.0202020202020202,1.0,0.5,0.53,0.995,1.0
300,3,0.1,0.0202020202020202,0.4067,0.3633,0.36,0.36,0.36
300,3,0.2,0.0202020202020202,0.69,0.3533,0.6733,0.3767,0.36
300,3,0.3,0.0202020202020202,0.72,0.7067,0.6767,0.7167,1.0
300,3,0.4,0.0202020202020202,0.68,0.6933,0.6933,0.6733,0.6733
300,3,0.5,0.0202020202020202,0.6667,0.6667,0.6933,0.7067,0.6867
300,3,0.6,0.0202020202020202,0.6567,0.6733,0.7033,0.6933,0.3367
300,3,0.7,0.0202020202020202,0.68,1.0,1.0,0.6667,0.6933
300,3,0.8,0.0202020202020202,0.3467,0.35,0.35,0.6833,1.0
300,3,0.9,0.0202020202020202,1.0,1.0,0.9967,1.0,0.3367
300,3,1.0,0.0202020202020202,0.3567,0.72,0.7,0.6867,0.9933
500,5,0.1,0.0202020202020202,0.21600000000000005,0.226,0.242,0.22,0.21600000000000005
500,5,0.2,0.0202020202020202,0.424,0.264,0.434,0.622,0.8340000000000001
500,5,0.3,0.0202020202020202,0.602,0.618,0.606,0.438,0.23
500,5,0.4,0.0202020202020202,0.638,0.7959999999999999,0.6459999999999999,0.428,0.616
500,5,0.5,0.0202020202020202,0.594,0.426,0.8320000000000001,0.44,0.448
500,5,0.6,0.0202020202020202,0.622,0.8340000000000001,0.594,0.648,0.426
500,5,0.7,0.0202020202020202,0.7959999999999999,0.614,0.608,0.414,0.8240000000000001
500,5,0.8,0.0202020202020202,0.812,0.394,0.794,0.436,0.618
500,5,0.9,0.0202020202020202,0.8220000000000001,0.454,0.438,0.826,0.614
500,5,1.0,0.0202020202020202,0.8059999999999999,0.406,0.606,0.608,0.61
400,4,0.1,0.0202020202020202,0.28,0.275,0.2675,0.28,0.4925
400,4,0.2,0.0202020202020202,0.5125,0.275,0.52,0.28,0.53
400,4,0.3,0.0202020202020202,0.5375,0.515,0.5475,0.8125,0.5225
